divesite,location,country,latitude,longitude,desc
Ao Khai Koh Chan,,Thailand,100.9705295,12.51705406,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/Ao_Khai_Koh_Chan
Three Trees,,Thailand,97.6469,8.67483,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Three_Trees
Talang,,Thailand,99.332757,6.489237126,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lipe_and_the_Butang_Islands/Talang
Lighthouse Pinnacle,,Thailand,99.84523207,10.12089317,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Lighthouse_Pinnacle
Racha Noi Bay,,Thailand,98.30942988,7.466028175,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Racha_Noi_Bay
King Kong Rock,,Thailand,99.84782011,10.07317605,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/King_Kong_Rock
Marista Rock,,Thailand,98.31816667,7.50255,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Marista_Rock
Hin Luk Bat ,,Thailand,102.3012543,11.96073862,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Hin_Luk_Bat_
Hin Kuak Ma,,Thailand,102.4111176,11.78065311,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Hin_Kuak_Ma
Malone Wall,,Thailand,98.76256667,7.685416667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Malone_Wall
Racha Yai Wreck,,Thailand,98.37831667,7.608072222,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Racha_Yai_Wreck
HTMS Sattakut,,Thailand,99.81361111,10.10555556,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/HTMS_Sattakut
Tuna wreck,,Thailand,97.64644444,8.56675,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Tuna_wreck
Num Chai Bay,,Thailand,97.64622688,8.675554458,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Num_Chai_Bay
Anemone Life,,Thailand,102.5313663,11.70661909,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Anemone_Life
Koh Raet,,Thailand,102.5240922,11.68281222,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Koh_Raet
